date,MVRV,txs_count,daily_active_adds,mean_hash_rate,gwei,30_volat,google_trends,net_outflow,closing_price
2017-01-08,0.0492,-0.0205,-0.0588,0.0062,0.0068,0.0104,0.0000,-1.0947,0.0518
2017-01-09,-0.0139,0.0810,0.1034,0.0313,0.0040,-0.0171,0.0000,5.7463,-0.0071
2017-01-10,0.0240,0.0431,-0.0578,0.0055,-0.0242,0.0018,0.0000,-1.0445,0.0254
2017-01-11,-0.0592,-0.0614,0.0035,0.0069,0.0064,0.0290,0.0000,47.1150,-0.0617
2017-01-12,-0.0141,0.1187,0.1043,0.0098,0.0161,0.0021,0.0000,-0.4317,-0.0201
2017-01-13,0.0038,0.0048,-0.0323,0.0221,-0.0400,-0.0044,0.0000,-1.8886,0.0042
2017-01-14,-0.0040,-0.1729,-0.0566,0.0052,0.0131,-0.0234,0.0000,0.0831,-0.0035
2017-01-15,0.0087,-0.0070,-0.0158,0.0148,0.0004,0.0000,0.0000,-1.4502,0.0095
2017-01-16,-0.0264,0.0869,0.0356,-0.0007,-0.0011,0.0063,0.0000,-0.6026,-0.0261
2017-01-17,0.0583,0.0286,0.0547,-0.0120,0.0155,0.0208,0.0000,-12.0171,0.0655
2017-01-18,-0.0004,-0.0359,-0.0596,-0.0064,-0.0142,-0.0145,0.0000,-1.2515,-0.0002
2017-01-19,0.0169,-0.0304,-0.0170,0.0659,-0.0085,0.0000,0.0000,-1.9548,0.0188
2017-01-20,0.0249,0.0492,0.1207,-0.0342,0.0064,-0.0031,0.0000,-19.3292,0.0207
2017-01-21,0.0276,-0.0540,-0.1155,0.0277,0.0016,-0.0155,0.0000,-0.9146,0.0292
2017-01-22,-0.0238,0.0954,0.0089,0.0074,-0.0128,-0.0247,0.0000,-0.8063,-0.0235
2017-01-23,0.0080,-0.0286,0.0246,0.0184,0.0067,0.0001,0.0000,-1.0993,0.0088
2017-01-24,-0.0229,0.0941,0.0507,-0.0127,-0.0083,0.0074,0.0000,-21.1871,-0.0234
2017-01-25,-0.0028,-0.0825,-0.0697,-0.0028,0.0113,0.0014,0.0000,1.0378,-0.0031
2017-01-26,0.0100,0.0130,0.0325,0.0260,0.0067,-0.0045,0.0000,0.3903,0.0107
2017-01-27,-0.0083,-0.0038,-0.0344,-0.0062,-0.0013,-0.0166,0.0000,-0.0680,-0.0086
2017-01-28,0.0026,-0.0319,0.0129,0.0032,-0.0102,-0.0444,0.0000,-0.6455,0.0028
2017-01-29,-0.0082,-0.0593,-0.0548,-0.0253,0.0078,-0.0010,0.0000,-4.1297,-0.0065
2017-01-30,0.0078,0.0673,0.1026,0.0255,-0.0071,-0.0033,0.0000,-0.7182,0.0080
2017-01-31,0.0110,-0.0379,-0.0821,0.0029,0.0349,0.0000,0.0000,2.3874,0.0120
2017-02-01,0.0012,0.0204,0.0469,-0.0120,-0.0207,-0.0016,0.0000,-0.6024,0.0016
2017-02-02,0.0005,-0.0187,-0.0004,0.0279,0.0039,-0.1819,0.0000,-0.6343,0.0098
2017-02-03,0.0117,-0.0213,-0.0252,-0.0237,-0.0051,-0.2424,0.0000,16.6059,0.0119
2017-02-04,0.0368,0.0615,0.0655,0.0178,0.0051,-0.1196,0.0000,-1.4642,0.0401
2017-02-05,-0.0135,0.0249,-0.0080,0.0491,-0.0129,0.0031,1.0000,-1.0715,-0.0133
2017-02-06,0.0074,0.0164,-0.0411,0.0042,0.0070,-0.0158,1.0000,-2.3047,0.0082
2017-02-07,0.0119,0.0964,0.0305,-0.0072,-0.0047,-0.0626,1.0000,-1.2348,0.0133
2017-02-08,-0.0094,-0.0150,0.0428,0.0187,0.0174,0.0003,1.0000,-17.5040,-0.0075
2017-02-09,-0.0349,-0.0629,-0.0248,0.0017,0.0042,0.0319,1.0000,0.1867,-0.0360
2017-02-10,0.0286,0.0908,-0.0065,0.0285,-0.0202,-0.1122,1.0000,1.6014,0.0349
2017-02-11,0.0082,-0.1084,-0.0539,0.0020,-0.0093,-0.0243,1.0000,-0.7775,0.0097
2017-02-12,-0.0026,-0.0267,0.0837,0.0176,0.0194,0.0020,-0.5000,-1.2037,-0.0017
2017-02-13,-0.0064,0.2355,0.0629,0.0103,0.0258,0.0026,-0.5000,-34.3284,-0.0065
2017-02-14,0.1387,0.0412,0.0438,0.0115,-0.0169,0.5592,-0.5000,-0.9546,0.1497
2017-02-15,-0.0131,-0.0511,0.0034,0.0076,0.3986,-0.0180,-0.5000,-22.1252,-0.0061
2017-02-16,-0.0303,-0.1021,-0.0538,-0.0028,-0.2918,-0.0469,-0.5000,-2.1188,-0.0099
2017-02-17,-0.0096,-0.0054,-0.0081,0.0185,-0.0031,0.0039,-0.5000,-0.6755,-0.0086
2017-02-18,0.0080,-0.0002,0.0074,0.0111,0.0233,-0.0024,-0.5000,0.2040,0.0097
2017-02-19,-0.0033,-0.0237,-0.0545,0.0193,-0.0289,-0.0019,2.0000,-2.3700,-0.0029
2017-02-20,-0.0138,0.0399,0.0768,-0.0011,0.0033,-0.0041,2.0000,-0.9660,-0.0124
2017-02-21,0.0068,0.1651,0.0248,0.0292,0.0046,-0.0166,2.0000,13.7689,0.0087
2017-02-22,-0.0062,-0.1380,-0.0347,-0.0119,0.0122,0.0026,2.0000,-0.7696,-0.0061
2017-02-23,0.0383,-0.0550,-0.0277,0.0031,-0.0045,0.0039,2.0000,-12.2026,0.0407
2017-02-24,-0.0069,0.1361,0.1007,0.0018,0.0006,0.0012,2.0000,-4.0253,-0.0057
2017-02-25,0.0332,-0.0155,-0.0532,0.0238,-0.0077,0.0141,2.0000,-1.4695,0.0355
2017-02-26,0.0677,-0.0287,0.0021,0.0397,0.0085,0.0651,0.3333,-0.0827,0.0743
2017-02-27,0.0363,0.0179,0.0754,0.0061,0.0185,0.0464,0.3333,-5.9641,0.0681
2017-02-28,-0.0061,0.1450,0.1469,0.0452,0.0167,-0.0032,0.3333,-1.1574,-0.0002
2017-03-01,0.0882,-0.0083,0.1117,-0.0365,0.1621,0.1018,0.3333,5.7690,0.1030
2017-03-02,0.0339,0.1841,0.2393,0.0184,-0.1384,0.0954,0.3333,-0.7112,0.1123
2017-03-03,0.0058,-0.0916,-0.1589,0.0393,-0.0255,-0.0035,0.3333,-0.5894,0.0234
2017-03-04,-0.0482,-0.0861,-0.1228,-0.0128,-0.0111,0.0502,0.3333,-2.4882,-0.0494
2017-03-05,0.0294,-0.0294,-0.0107,0.0479,-0.0129,0.0015,0.0000,-2.4262,0.0330
